level_0,index,city,year,latitude,longitude,log_pop,num_people,diversity,capital,university,commune,bishop,fup,notability_index,city_id,year_id
1293,2217,Murcia (Mursiya),1500,37.983,-1.117,3.2188758248682006,4,1.7917594692280547,0,0,1,0,5.321,89.911351,399,3
1294,2218,Murcia (Mursiya),1600,37.983,-1.117,2.833213344056216,10,2.772588722239781,0,0,1,0,8.6296,200.323805,399,4
1295,2219,Murcia (Mursiya),1700,37.983,-1.117,3.258096538021482,12,2.772588722239781,0,0,1,0,8.8456,247.600322,399,5
1296,2220,Murcia (Mursiya),1800,37.983,-1.117,3.6888794541139363,38,3.8918202981106265,0,0,1,0,16.567,710.31918,399,6
1297,2223,Namur (Namen),1400,50.467,4.867,1.791759469228055,1,0.6931471805599453,0,0,1,0,7.2662,15.957095,400,2
1298,2224,Namur (Namen),1500,50.467,4.867,2.0794415416798357,14,2.995732273553991,0,0,1,0,9.6543,292.680277,400,3
1299,2225,Namur (Namen),1600,50.467,4.867,2.1972245773362196,15,2.615630577027551,0,0,1,1,13.532,277.218594,400,4
1300,2226,Namur (Namen),1700,50.467,4.867,2.4849066497880004,51,4.077120709195348,0,0,1,1,18.432,909.891821,400,5
1301,2227,Namur (Namen),1800,50.467,4.867,2.70805020110221,190,5.110279513406217,0,0,1,1,26.995,3320.987462,400,6
1302,2231,Nancy,1600,48.683,6.2,2.3978952727983707,35,3.911967693168725,0,0,1,1,11.435,752.233267,401,4
1303,2232,Nancy,1700,48.683,6.2,2.6390573296152584,139,4.825461146328352,0,0,1,1,14.276,2620.018974,401,5
1304,2233,Nancy,1800,48.683,6.2,3.367295829986474,208,5.128927051936371,0,0,1,1,23.492,3900.861118,401,6
1305,2235,Nantes,1300,47.217,-1.55,2.0794415416798357,4,2.639057329615258,0,0,0,1,5.5359,108.62141,402,1
1306,2237,Nantes,1500,47.217,-1.55,2.6390573296152584,11,3.014946880179594,0,1,1,1,5.7331,212.576444,402,3
1307,2238,Nantes,1600,47.217,-1.55,3.2188758248682006,28,3.5790530085397907,0,1,1,1,8.9255,516.116345,402,4
1308,2239,Nantes,1700,47.217,-1.55,3.6888794541139363,165,4.649731605902579,0,1,1,1,11.442,2831.511731,402,5
1309,2240,Nantes,1800,47.217,-1.55,4.343805421853684,303,5.334277932344118,0,1,1,1,19.098,5618.846998,402,6
1310,2241,Napoli,1200,40.833,14.25,3.4011973816621555,10,3.163424050423405,0,0,1,0,4.1238,206.21278,403,0
1311,2242,Napoli,1300,40.833,14.25,4.0943445622221,42,4.593253411027408,1,1,0,0,7.0429,921.275329,403,1
1312,2243,Napoli,1400,40.833,14.25,3.8066624897703196,53,4.55938114615595,1,1,0,0,4.9927,1115.68349,403,2
1313,2244,Napoli,1500,40.833,14.25,4.8283137373023015,119,4.688246108544732,1,1,0,0,5.7444,2294.89658,403,3
1314,2245,Napoli,1600,40.833,14.25,5.616771097666572,187,4.811379179797575,1,1,0,0,9.4478,3604.1235475,403,4
1315,2246,Napoli,1700,40.833,14.25,5.703782474656201,235,5.527158516622202,1,1,0,0,10.013,4650.645501,403,5
1316,2247,Napoli,1800,40.833,14.25,6.063785208687608,512,6.19588783001198,1,1,0,0,22.532,9691.92676,403,6
1317,2248,Narbonne,1300,43.183,3.0,3.4011973816621555,4,1.6094379124341005,0,0,1,0,6.8099,77.296771,404,1
1318,2252,Naro,1700,37.3,13.8,2.0794415416798357,1,-0.0,0,0,0,0,11.483,17.988605,405,5
1319,2253,Naro,1800,37.3,13.8,2.3978952727983707,5,1.3321790402101223,0,0,0,0,22.337,82.310686,405,6
1320,2258,Nevers,1800,46.983,3.167,2.3978952727983707,101,4.328370663272172,0,0,1,1,23.303,1879.298028,406,6
1321,2261,Newcastle-upon-Tine,1300,54.974,-1.602,2.0794415416798357,1,-0.0,0,0,1,0,3.8569,26.556675,407,1
